config,limit,oversampling,rescore,hnsw_ef,exact,recall,p50_ms,p95_ms,p99_ms,mean_ms,p50_min_ms,p95_min_ms,p95_max_ms,p95_spread_ms,reps
"BQ, no rescore, oversampling 2x, ef=300",10,2.0,False,300,False,0.6743,0.712,0.862,0.982,0.734,0.706,0.768,0.912,0.144,5
"BQ, no rescore, oversampling 3x, ef=300",10,3.0,False,300,False,0.6743,0.718,0.889,0.966,0.738,0.703,0.806,0.984,0.178,5
"BQ, no rescore, oversampling 4x, ef=300",10,4.0,False,300,False,0.6743,0.716,0.948,1.268,0.779,0.708,0.777,1.053,0.276,5
"BQ, no rescore, oversampling 5x, ef=300",10,5.0,False,300,False,0.6743,0.72,0.937,1.056,0.78,0.71,0.798,1.001,0.203,5
"BQ, no rescore, oversampling 6x, ef=300",10,6.0,False,300,False,0.6743,0.73,0.845,0.951,0.766,0.699,0.762,1.076,0.314,5
"BQ, no rescore, oversampling 8x, ef=300",10,8.0,False,300,False,0.6743,0.733,0.947,1.253,0.791,0.719,0.919,1.073,0.153,5
"BQ, no rescore, oversampling 12x, ef=300",10,12.0,False,300,False,0.6743,0.733,0.867,1.004,0.756,0.716,0.805,1.308,0.502,5
"BQ, no rescore, oversampling 16x, ef=300",10,16.0,False,300,False,0.6743,0.743,0.932,1.064,0.76,0.701,0.819,2.53,1.711,5
"BQ + rescore, oversampling 1x",10,1.0,True,,False,0.9238,0.696,0.96,1.445,0.778,0.645,0.827,1.535,0.708,5
"BQ + rescore, oversampling 1.5x",10,1.5,True,,False,0.9606,0.631,0.701,0.831,0.641,0.621,0.696,1.042,0.347,5
"BQ + rescore, oversampling 2x",10,2.0,True,,False,0.9747,0.647,0.752,0.886,0.675,0.626,0.712,1.086,0.373,5
"BQ + rescore, oversampling 3x",10,3.0,True,,False,0.9862,0.665,0.845,1.192,0.691,0.631,0.698,0.951,0.253,5
"BQ + rescore, oversampling 4x",10,4.0,True,,False,0.99,0.676,0.78,0.992,0.698,0.644,0.711,1.72,1.01,5
"BQ + rescore, oversampling 5x",10,5.0,True,,False,0.9911,0.676,0.817,0.906,0.698,0.651,0.714,0.872,0.158,5
"BQ + rescore, oversampling 6x",10,6.0,True,,False,0.9921,0.741,1.02,1.721,0.802,0.662,0.772,1.953,1.181,5
"BQ + rescore, oversampling 8x",10,8.0,True,,False,0.9931,0.747,0.928,1.176,0.781,0.674,0.728,1.391,0.663,5
"BQ + rescore, oversampling 12x",10,12.0,True,,False,0.9947,0.777,0.977,1.349,0.806,0.722,0.897,1.352,0.454,5
"BQ + rescore, oversampling 16x",10,16.0,True,,False,0.9966,0.825,0.995,1.114,0.836,0.781,0.896,1.048,0.152,5
"BQ + rescore, oversampling 1x, ef=300",10,1.0,True,300,False,0.9277,0.757,1.002,1.144,0.821,0.705,0.834,1.277,0.443,5
"BQ + rescore, oversampling 1.5x, ef=300",10,1.5,True,300,False,0.9639,0.755,0.961,1.05,0.788,0.71,0.836,1.081,0.245,5
"BQ + rescore, oversampling 2x, ef=300",10,2.0,True,300,False,0.9786,0.753,0.965,1.222,0.769,0.714,0.835,1.807,0.972,5
"BQ + rescore, oversampling 3x, ef=300",10,3.0,True,300,False,0.9904,0.781,1.036,1.963,0.829,0.72,0.853,1.208,0.355,5
"BQ + rescore, oversampling 4x, ef=300",10,4.0,True,300,False,0.994,0.819,0.927,1.029,0.828,0.733,0.854,2.342,1.488,5
"BQ + rescore, oversampling 5x, ef=300",10,5.0,True,300,False,0.9957,0.803,0.952,1.129,0.816,0.745,0.917,1.161,0.244,5
"BQ + rescore, oversampling 6x, ef=300",10,6.0,True,300,False,0.9967,0.851,1.063,1.455,0.889,0.755,0.822,1.138,0.316,5
"BQ + rescore, oversampling 8x, ef=300",10,8.0,True,300,False,0.9975,0.865,1.125,1.418,0.898,0.778,0.862,1.471,0.609,5
"BQ + rescore, oversampling 12x, ef=300",10,12.0,True,300,False,0.9987,0.906,1.025,1.123,0.915,0.809,0.944,1.167,0.223,5
"BQ + rescore, oversampling 16x, ef=300",10,16.0,True,300,False,0.9989,0.928,1.06,1.319,0.945,0.847,1.026,1.333,0.307,5
"HNSW, no quantization, ef=pool(1x)",10,,,10,False,0.8881,0.816,0.943,1.367,0.84,0.773,0.872,1.08,0.208,5
"HNSW, no quantization, ef=pool(1.5x)",10,,,15,False,0.9266,0.885,0.983,1.034,0.899,0.831,0.922,1.326,0.404,5
"HNSW, no quantization, ef=pool(2x)",10,,,20,False,0.9526,0.989,1.1,1.597,0.993,0.926,1.036,2.634,1.597,5
"HNSW, no quantization, ef=pool(3x)",10,,,30,False,0.9725,1.063,1.247,1.324,1.097,1.028,1.152,1.335,0.183,5
"HNSW, no quantization, ef=pool(4x)",10,,,40,False,0.9811,1.204,1.522,2.578,1.229,1.137,1.349,1.747,0.398,5
"HNSW, no quantization, ef=pool(5x)",10,,,50,False,0.9873,1.336,1.59,1.885,1.362,1.227,1.361,1.651,0.291,5
"HNSW, no quantization, ef=pool(6x)",10,,,60,False,0.9891,1.429,1.745,1.912,1.46,1.334,1.48,5.278,3.798,5
"HNSW, no quantization, ef=pool(8x)",10,,,80,False,0.992,1.609,1.909,2.307,1.622,1.518,1.739,7.292,5.553,5
"HNSW, no quantization, ef=pool(12x)",10,,,120,False,0.9953,1.981,2.34,2.73,1.984,1.829,2.106,4.528,2.421,5
"HNSW, no quantization, ef=pool(16x)",10,,,160,False,0.9967,2.505,3.257,4.384,2.578,2.136,2.477,3.594,1.117,5
"BQ + rescore, oversampling 1x, ef=pool",10,1.0,True,10,False,0.8339,0.629,0.74,0.984,0.66,0.61,0.677,1.034,0.357,5
"BQ + rescore, oversampling 1.5x, ef=pool",10,1.5,True,15,False,0.8981,0.619,0.688,0.743,0.626,0.598,0.66,0.757,0.097,5
"BQ + rescore, oversampling 2x, ef=pool",10,2.0,True,20,False,0.9321,0.609,0.67,0.844,0.613,0.6,0.644,0.727,0.083,5
"BQ + rescore, oversampling 3x, ef=pool",10,3.0,True,30,False,0.9613,0.61,0.656,0.689,0.617,0.6,0.641,0.783,0.142,5
"BQ + rescore, oversampling 4x, ef=pool",10,4.0,True,40,False,0.9755,0.635,0.723,0.809,0.64,0.612,0.684,1.247,0.564,5
"BQ + rescore, oversampling 5x, ef=pool",10,5.0,True,50,False,0.984,0.641,0.769,0.9,0.671,0.627,0.678,0.807,0.13,5
"BQ + rescore, oversampling 6x, ef=pool",10,6.0,True,60,False,0.9874,0.652,0.745,0.845,0.654,0.639,0.685,0.913,0.228,5
"BQ + rescore, oversampling 8x, ef=pool",10,8.0,True,80,False,0.9905,0.686,0.805,0.989,0.692,0.668,0.724,0.888,0.164,5
"BQ + rescore, oversampling 12x, ef=pool",10,12.0,True,120,False,0.9947,0.737,0.868,0.991,0.74,0.718,0.784,1.603,0.819,5
"BQ + rescore, oversampling 16x, ef=pool",10,16.0,True,160,False,0.9966,0.813,1.001,1.207,0.825,0.785,0.936,1.092,0.156,5
